region,jdac_minus_before_mean_mm
rh_caudalmiddlefrontal,-0.570
rh_precentral,-0.537
lh_caudalmiddlefrontal,-0.524
rh_superiorfrontal,-0.521
rh_rostralmiddlefrontal,-0.478
lh_precentral,-0.464
lh_rostralmiddlefrontal,-0.460
lh_parsopercularis,-0.460
rh_parsopercularis,-0.453
lh_superiorfrontal,-0.421
lh_transversetemporal,-0.421
lh_supramarginal,-0.415
rh_parstriangularis,-0.371
rh_supramarginal,-0.371
rh_paracentral,-0.367
rh_transversetemporal,-0.363
rh_superiorparietal,-0.344
lh_precuneus,-0.321
lh_paracentral,-0.293
rh_precuneus,-0.286
rh_middletemporal,-0.268
rh_inferiortemporal,-0.258
lh_superiorparietal,-0.257
lh_superiortemporal,-0.254
lh_postcentral,-0.234
rh_fusiform,-0.229
lh_middletemporal,-0.224
rh_bankssts,-0.205
rh_postcentral,-0.204
rh_parsorbitalis,-0.198
rh_superiortemporal,-0.198
rh_medialorbitofrontal,-0.193
rh_inferiorparietal,-0.183
lh_parstriangularis,-0.176
lh_inferiorparietal,-0.151
lh_medialorbitofrontal,-0.144
lh_inferiortemporal,-0.140
rh_lateralorbitofrontal,-0.132
lh_bankssts,-0.122
rh_temporalpole,-0.120
rh_pericalcarine,-0.112
rh_caudalanteriorcingulate,-0.107
rh_frontalpole,-0.102
lh_parsorbitalis,-0.083
rh_lateraloccipital,-0.055
rh_cuneus,-0.048
lh_pericalcarine,-0.048
lh_lateralorbitofrontal,-0.039
lh_posteriorcingulate,-0.038
lh_lateraloccipital,-0.027
rh_lingual,-0.024
lh_frontalpole,-0.020
lh_fusiform,-0.015
lh_cuneus,-0.008
lh_rostralanteriorcingulate,0.004
rh_parahippocampal,0.045
rh_rostralanteriorcingulate,0.059
lh_lingual,0.075
rh_posteriorcingulate,0.081
rh_insula,0.144
lh_caudalanteriorcingulate,0.156
lh_insula,0.157
rh_entorhinal,0.165
lh_temporalpole,0.225
rh_isthmuscingulate,0.261
lh_entorhinal,0.310
lh_parahippocampal,0.314
lh_isthmuscingulate,0.354
