condition,sub,motion
run-01,sub-01,0.19909719
run-02,sub-01,0.255442
run-03,sub-01,3.161867
run-01,sub-02,0.19188544
run-02,sub-02,1.0086287
run-03,sub-02,1.1588172
run-01,sub-03,0.24781723
run-02,sub-03,3.2450788
run-03,sub-03,1.7966602
run-01,sub-04,0.29805177
run-02,sub-04,1.1850741
run-03,sub-04,2.070809
run-01,sub-05,0.23642899
run-02,sub-05,1.2660483
run-03,sub-05,2.138734
run-01,sub-06,0.19440408
run-02,sub-06,0.7272158
run-03,sub-06,1.0749449
run-01,sub-07,0.38847688
run-02,sub-07,0.814364
run-03,sub-07,3.1752744
run-01,sub-08,0.43832004
run-02,sub-08,3.070324
run-03,sub-08,2.8802433
run-01,sub-09,0.22233787
run-02,sub-09,1.5789887
run-03,sub-09,0.82675624
run-01,sub-10,0.23371246
run-02,sub-10,0.7128773
run-03,sub-10,1.0135461
run-01,sub-11,0.2284936
run-02,sub-11,0.3444981
run-03,sub-11,3.2917576
run-01,sub-12,0.21650065
run-02,sub-12,0.71527374
run-03,sub-12,1.2301629
run-01,sub-13,0.22617541
run-02,sub-13,0.8918759
run-03,sub-13,1.5627747
run-01,sub-14,0.22340511
run-02,sub-14,0.5212494
run-03,sub-14,3.2335994
run-01,sub-15,0.22386989
run-02,sub-15,0.8415858
run-03,sub-15,2.4168222
run-01,sub-16,0.21008807
run-02,sub-16,1.1329037
run-03,sub-16,0.7155935
run-01,sub-17,0.16382834
run-02,sub-17,0.5447008
run-03,sub-17,0.27162248
run-01,sub-18,0.26263094
run-02,sub-18,1.1257635
run-03,sub-18,1.0498449
run-01,sub-19,0.20573646
run-02,sub-19,0.44703093
run-03,sub-19,3.152689
run-01,sub-20,0.20741202
run-02,sub-20,0.2768778
run-03,sub-20,0.7120201
run-01,sub-21,0.21419355
run-02,sub-21,0.4641859
run-03,sub-21,1.6241974
run-01,sub-22,0.25340644
run-02,sub-22,0.5063279
run-03,sub-22,0.6752998
