subject,arm,slope,n_runs
sub-01,brute,-3.4953,2
sub-01,jdac,-0.0665,3
sub-01,preproc,-0.0674,3
sub-02,brute,-0.1512,3
sub-02,jdac,-0.0423,3
sub-02,preproc,-0.1014,3
sub-03,brute,0.0452,3
sub-03,jdac,0.0537,3
sub-03,preproc,0.055,3
sub-04,brute,-0.1689,3
sub-04,jdac,-0.1455,3
sub-04,preproc,-0.1484,3
sub-05,brute,-0.2247,3
sub-05,jdac,-0.0722,3
sub-05,preproc,-0.1888,3
sub-06,brute,-0.2201,3
sub-06,jdac,-0.2466,3
sub-06,preproc,-0.1489,3
sub-07,brute,-0.0848,3
sub-07,jdac,-0.0706,3
sub-07,preproc,-0.0803,3
sub-08,brute,-0.0359,3
sub-08,jdac,-0.0257,3
sub-08,preproc,-0.0434,3
sub-09,brute,0.02,3
sub-09,jdac,-0.006,3
sub-09,preproc,0.0735,3
sub-10,brute,-0.4991,3
sub-10,jdac,-0.3184,3
sub-10,preproc,-0.3758,3
sub-11,brute,-0.1416,3
sub-11,jdac,-0.0477,3
sub-11,preproc,-0.1096,3
sub-12,brute,-0.2515,3
sub-12,jdac,-0.1182,3
sub-12,preproc,-0.1958,3
sub-13,brute,-0.0938,3
sub-13,jdac,-0.094,3
sub-13,preproc,-0.1015,3
sub-14,brute,-0.0184,3
sub-14,jdac,0.0035,3
sub-14,preproc,0.0122,3
sub-15,brute,-0.1251,3
sub-15,jdac,-0.0833,3
sub-15,preproc,-0.1032,3
sub-16,brute,-0.1393,3
sub-16,jdac,-0.0522,3
sub-16,preproc,-0.0275,3
sub-17,brute,-0.3282,3
sub-17,jdac,-0.3757,3
sub-17,preproc,-0.3103,3
sub-18,brute,-0.2195,3
sub-18,jdac,-0.1254,3
sub-18,preproc,-0.1557,3
sub-19,brute,-0.045,3
sub-19,jdac,-0.053,3
sub-19,preproc,-0.0468,3
sub-20,brute,-0.4746,3
sub-20,jdac,-0.4059,3
sub-20,preproc,-0.4045,3
sub-21,brute,-0.1917,3
sub-21,jdac,-0.0517,3
sub-21,preproc,-0.1795,3
sub-22,brute,-0.7148,3
sub-22,jdac,0.2501,3
sub-22,preproc,-0.4422,3
